night,date,name,mile,miles_completed,ascent,descent,lat,lon,cum_miles,cum_ascent,cum_descent
0,7/3/2025,Lions Den Mazama,2625.2,0,0,0,48.58565,-120.40828,0,0,0
1,7/4/2025,Elk Bugle Campground,2641.1,15.9,3222,3199,48.85803,-120.7439,15.9,3222,3199
2,7/5/2025,Woody Pass,11.1,25.8,5082,4676,48.88487,-120.76591,41.7,8304,7875
3,7/6/2025,Foggy Pass,23.5,12.4,2605,2936,48.78225,-120.73084,54.1,10909,10811
4,7/7/2025,Brush Creek,43.2,19.7,2723,4728,48.64825,-120.70871,73.8,13632,15539
5,7/8/2025,Cutthroat Pass,55.9,12.7,3609,1060,48.5551,-120.69986,86.5,17241,16599
6,7/9/2025,Bridge Creek,75.7,19.8,1145,5876,48.42998,-120.86889,106.3,18386,22475
7,7/10/2025,Stehekin,80.7,5,741,1260,48.38009,-120.83836,111.3,19127,23735
8,7/11/2025,Stehekin,80.7,0,0,0,48.38009,-120.83836,111.3,19127,23735
9,7/12/2025,Unnamed campsite,95.6,14.9,4236,1096,48.24241,-120.9557,126.2,23363,24831
10,7/13/2025,Suaittle River,112,16.4,2369,4780,48.2075,-121.07912,142.6,25732,29611
11,7/14/2025,Milk Creek,128,16,3963,2904,48.17122,-121.1402,158.6,29695,32515
12,7/15/2025,Baekos Creek,143.9,15.9,4288,3734,48.08602,-121.16428,174.5,33983,36249
13,7/16/2025,Lake Sally Ann,159.2,15.3,4259,2684,47.9612,-121.1519,189.8,38242,38933
14,7/17/2025,Lake Janus,178.7,19.5,3940,5308,47.82542,-121.09951,209.3,42182,44241
15,7/18/2025,Leavenworth,188.5,9.8,1896,1985,47.59852,-120.63929,219.1,44078,46226
16,7/19/2025,Leavenworth,188.5,0,0,0,47.59852,-120.63929,219.1,44078,46226
17,7/20/2025,Glacier Lake,202.5,14,3990,3219,47.65831,-121.14157,233.1,48068,49445
18,7/21/2025,Deep Lake,217.8,15.3,3458,3901,47.54007,-121.13811,248.4,51526,53346
19,7/22/2025,Unnamed campsite,232.8,15,3268,2165,47.49958,-121.24744,263.4,54794,55511
20,7/23/2025,Unnamed campsite,249.8,17,4108,4419,47.47149,-121.34071,280.4,58902,59930
21,7/24/2025,Washington Alpine Club ,259.5,9.7,1444,3622,47.4268,-121.41542,290.1,60346,63552
22,7/25/2025,Mirror Lake,268.3,8.8,2585,1381,47.34436,-121.43663,298.9,62931,64933
23,7/26/2025,Unnamed campsite,289.2,20.9,4767,5092,47.19911,-121.31088,319.8,67698,70025
24,7/27/2025,Mike Ulrich Cabin,305.6,16.4,3698,2766,47.08939,-121.39574,336.2,71396,72791
25,7/28/2025,Dewey Lakes,332.2,26.6,4603,4202,46.85324,-121.48151,362.8,75999,76993
26,7/29/2025,Pipe Lake,350.7,18.5,2979,2907,46.70226,-121.38522,381.3,78978,79900
27,7/30/2025,White Pass Kraker Barrel,357.7,7,581,1368,46.64364,-121.37927,388.3,79559,81268
28,7/31/2025,Unnamed campsite,372.8,15.1,3927,2329,46.53971,-121.44285,403.4,83486,83597
29,8/1/2025,Walupt Lake Trail Junction,388,15.2,2848,3891,46.41037,-121.40251,418.6,86334,87488
30,8/2/2025,Riley Creek,413.5,25.5,3553,2756,46.21284,-121.56852,444.1,89887,90244
31,8/3/2025,FS 23 Trout Lake,423.8,10.3,587,2493,46.16182,-121.63163,454.4,90474,92737
